type,pd_code,ed_code,pd_name,ed_name,electors,polled,rejected,valid,UNP,PA,JVP,TULF,SLMC,EPDP,SU,NLF,DPLF,IG.13,USP,NDP,IG.12,DLF,IG.19,ULF,IG.11,ESMS,IG.10,MULF,SMBP,JSP,PFF,LP,RJP,IG.07,DUNF,IG.02,SLPF,SLMK,IG.21,SLNF,IG.15,IG.03,IG.08,IG.04,IG.20,IG.06,IG.22,IG.01,IG.09,IG.17,SEP,IG.05,IG.18,IG.16,IG.14,Ind10,ELPP
lk,-,-,-,-,12428762,9449878,494009,8955844,4086026,3330815,815353,348164,105346,72783,50665,45901,16669,15171,9455,6952,6778,6214,5578,3851,3712,2771,2677,2644,1630,1624,1361,1152,1089,1010,978,967,854,802,765,719,641,593,545,529,424,376,342,300,289,279,243,223,169,157,138,64,56
ed,-,01,-,Colombo,1440682,1099382,40901,1058481,546417,353401,117404,12696,0,647,16970,3457,0,0,1503,0,0,3322,0,1101,0,0,0,0,490,138,0,0,65,0,0,0,81,175,0,71,0,0,0,0,0,0,0,300,0,0,243,0,0,0,0,0,0
ed,-,02,-,Gampaha,1285973,1033417,38187,995230,437289,428780,113990,0,0,0,8105,3488,0,0,736,0,0,0,0,623,0,226,0,0,389,0,0,0,334,0,0,967,90,146,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ed,-,03,-,Kalutara,717764,586236,32617,553619,254339,226468,60451,0,0,0,5103,2369,0,0,2162,0,0,0,0,0,0,0,0,1693,204,129,0,0,55,0,0,0,0,0,0,53,0,593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ed,-,04,-,Kandy,838687,637679,42103,595576,314297,233637,37146,0,0,0,4040,3905,0,0,0,0,0,0,0,0,0,568,0,641,190,253,212,0,62,0,0,0,48,0,0,48,0,0,0,529,0,0,0,0,0,0,0,0,0,0,0,0,0
ed,-,05,-,Matale,299606,233539,15449,218090,109991,88999,16063,0,0,0,0,1824,0,0,0,0,0,0,0,365,0,139,0,0,0,67,103,152,28,0,0,0,0,96,0,40,0,0,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0
ed,-,06,-,Nuwara-Eliya,417264,343472,28373,315099,215157,77733,11080,0,0,0,642,1687,0,0,1262,6600,0,373,0,0,0,0,0,0,0,117,37,0,0,0,0,0,11,0,0,24,0,0,0,0,0,376,0,0,0,0,0,0,0,0,0,0,0
ed,-,07,-,Galle,698558,566475,24561,541914,238989,232931,61806,0,0,0,2328,2448,0,0,728,0,0,465,0,465,0,114,0,0,0,0,68,173,0,1010,292,0,47,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ed,-,08,-,Matara,534694,424787,20820,403967,171661,171141,54476,0,0,0,1854,2780,0,0,856,0,0,0,0,0,0,143,0,0,129,128,196,0,0,0,0,0,58,0,0,0,0,0,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ed,-,09,-,Hambantota,369073,294540,13378,281162,112520,105175,59693,0,0,0,679,2101,0,0,0,0,0,0,0,336,0,126,0,0,0,0,121,0,0,0,0,0,60,0,0,62,0,0,0,0,0,0,0,0,289,0,0,0,0,0,0,0,0
