type,pd_code,ed_code,pd_name,ed_name,electors,polled,rejected,valid,UPFA,UNP,ITAK,JHU,SLMC,UPF,EPDP,JSP,USP,CDUA,NLF,DPLF,IP1D,UMPA,ULF,IP7D,NPP,SMBP,IP9D,IP6D,S,IP5D,SLPF,IP8D,IP3D,IP2D,RJP,IP4D,SLNF,TLP,SLMK,SEP,DUNF,IP4-ED,IP3-ED,IP1-ED,IP2-ED,;P7D,;P4D
lk,-,-,-,-,12909631,9777821,534452,9241813,4223126,3486792,633203,552723,186880,49728,24942,14956,14330,10736,8452,7038,6003,3779,3773,2090,1540,1391,1192,1149,1139,864,814,792,754,673,589,494,493,413,382,159,141,95,72,45,38,20,13
ed,-,1,-,Colombo,1467751,1096571,38605,1057742,414688,441841,0,190618,0,0,539,2420,894,0,2037,0,37,858,550,683,1273,203,32,40,404,36,71,67,34,46,30,43,42,0,97,159,0,0,0,0,0,0,0
ed,-,2,-,Gampaha,1327145,1031464,41462,989742,509963,367572,0,102516,0,0,0,4622,2852,0,932,0,65,0,0,66,0,203,149,34,129,17,40,43,143,25,42,48,28,73,73,0,107,0,0,0,0,0,0
ed,-,3,-,Kalutara,746138,593760,30741,563019,291208,212721,0,56615,0,0,0,0,432,0,560,0,56,420,161,43,0,79,212,41,100,24,27,140,19,35,32,29,31,0,0,0,34,0,0,0,0,0,0
ed,-,4,-,Kandy,880634,673380,45484,627866,268131,313859,0,42192,0,0,0,1109,324,0,501,0,37,548,147,178,0,81,233,43,103,35,20,129,29,16,24,26,48,0,53,0,0,0,0,0,0,0,0
ed,-,5,-,Matale,312556,239611,19549,220062,108259,100642,0,8819,0,0,0,271,1135,0,109,0,33,0,0,0,267,20,0,263,10,48,8,0,64,19,15,13,20,27,20,0,0,0,0,0,0,0,0
ed,-,6,-,Nuwara-Eliya,436236,352022,24413,327609,82945,176971,0,4454,0,49728,0,532,1426,10736,187,0,0,0,0,0,0,53,0,0,23,0,11,0,0,0,79,0,26,188,0,0,0,95,72,45,38,0,0
ed,-,7,-,Galle,716609,571891,30380,541511,306385,209399,0,22826,0,0,0,626,456,0,457,0,121,0,674,32,0,74,164,25,28,32,13,64,44,19,38,13,21,0,0,0,0,0,0,0,0,0,0
ed,-,8,-,Matara,550506,423002,22769,400233,241235,139633,0,16229,0,0,0,718,1526,0,192,0,52,0,0,245,0,33,0,117,26,34,21,0,36,34,0,23,29,50,0,0,0,0,0,0,0,0,0
ed,-,9,-,Hambantota,384361,297034,17724,279310,178895,98877,0,0,0,0,0,328,239,0,195,0,41,0,252,26,0,105,0,21,31,62,12,139,23,32,0,6,26,0,0,0,0,0,0,0,0,0,0
ed,-,10,-,Jaffna,654415,305259,21233,284026,0,0,257320,95,1995,0,18612,0,291,0,266,0,5156,0,0,0,0,0,0,0,73,0,0,0,0,151,67,0,0,0,0,0,0,0,0,0,0,0,0
ed,-,11,-,Vanni,226604,130513,9665,120848,6415,16213,90252,73,0,0,1084,0,258,0,57,6028,24,0,0,4,0,57,217,18,0,57,0,16,47,16,5,7,0,0,0,0,0,0,0,0,0,0,0
ed,-,12,-,Batticaloa,303928,254023,12648,241375,26268,6151,161011,17,43131,0,2556,32,71,0,119,1010,102,366,0,30,0,0,0,34,0,21,155,84,26,65,24,53,49,0,0,0,0,0,0,0,0,0,0
ed,-,13,-,Digamadulla,379044,308625,18264,289829,111747,42121,55533,1130,76563,0,1611,66,104,0,50,0,1,335,46,10,0,85,4,20,0,40,272,26,55,1,5,4,0,0,0,0,0,0,0,0,0,0,0
ed,-,14,-,Trincomalee,224764,191793,8863,182930,31053,15693,69087,791,65191,0,540,0,0,0,87,0,61,117,0,0,0,65,0,58,0,53,0,0,23,19,82,10,0,0,0,0,0,0,0,0,0,0,0
ed,-,15,-,Kurunegala,1089482,833908,40261,793360,412157,340768,0,37459,0,0,0,1058,265,0,349,0,24,550,191,20,0,64,70,11,25,53,28,34,36,17,17,23,48,54,39,0,0,0,0,0,0,0,0
ed,-,16,-,Puttalam,450057,311194,21431,289588,142784,135152,0,10000,0,0,0,785,132,0,169,0,16,229,92,0,0,17,11,26,37,6,18,10,10,30,12,6,11,0,15,0,0,0,0,0,0,20,0
ed,-,17,-,Anuradhapura,514149,393406,21281,372125,212943,148612,0,8034,0,0,0,432,1439,0,177,0,33,0,0,0,0,28,0,0,51,126,33,0,49,26,15,100,27,0,0,0,0,0,0,0,0,0,0
ed,-,18,-,Polonnaruwa,254061,197934,12673,185210,106243,75664,0,2413,0,0,0,116,627,0,41,0,13,0,0,4,0,13,13,5,0,4,0,5,9,11,6,8,15,0,0,0,0,0,0,0,0,0,0
ed,-,19,-,Badulla,511115,400337,30159,370178,178634,181705,0,6932,0,0,0,610,588,0,248,0,45,0,647,329,0,56,0,141,36,40,28,0,28,36,32,43,0,0,0,0,0,0,0,0,0,0,0
ed,-,20,-,Moneragala,262742,204929,12816,192113,117456,71067,0,2675,0,0,0,158,135,0,76,0,17,0,275,87,0,19,0,39,11,17,6,0,11,18,12,15,19,0,0,0,0,0,0,0,0,0,0
ed,-,21,-,Ratnapura,647035,520349,28346,492003,261450,205490,0,20801,0,0,0,585,649,0,1336,0,40,0,738,307,0,51,0,199,49,112,31,0,43,41,32,22,27,0,0,0,0,0,0,0,0,0,0
ed,-,22,-,Kegalle,570299,446816,25685,421134,214267,186641,0,18034,0,0,0,488,487,0,307,0,29,356,0,26,0,85,87,14,3,47,20,35,25,16,20,2,26,21,85,0,0,0,0,0,0,0,13
pd,01A,1,Colombo-North,Colombo,86388,60959,3431,57510,12724,40387,0,3409,0,0,45,415,93,0,175,0,2,75,57,42,24,5,5,2,8,3,6,2,3,3,3,5,2,0,5,10,0,0,0,0,0,0,0
pd,01B,1,Colombo-Central,Colombo,153763,105593,5451,100116,17681,71599,0,8881,0,0,66,230,204,0,225,0,3,317,117,501,49,4,7,12,98,5,34,8,5,12,6,2,5,0,35,10,0,0,0,0,0,0,0
pd,01C,1,Borella,Colombo,62722,42350,1457,40874,12484,21543,0,6360,0,0,12,109,27,0,89,0,2,61,20,54,41,2,0,1,29,1,4,4,0,5,1,3,1,0,10,11,0,0,0,0,0,0,0
pd,01D,1,Colombo-East,Colombo,67885,47265,1689,45567,12141,23739,0,9116,0,0,65,91,57,0,166,0,2,40,25,5,45,10,0,1,37,2,1,2,0,0,0,3,1,0,7,11,0,0,0,0,0,0,0
pd,01H,1,Kolonnawa,Colombo,106335,80362,2832,77518,32976,29540,0,14311,0,0,26,194,74,0,106,0,2,81,29,40,78,15,1,6,15,1,3,2,3,2,1,1,0,0,7,4,0,0,0,0,0,0,0
pd,01E,1,Colombo-West,Colombo,40209,26783,869,25907,3613,19084,0,2824,0,0,21,44,20,0,150,0,3,22,19,4,19,2,0,3,55,1,0,1,0,4,0,3,1,0,9,5,0,0,0,0,0,0,0
pd,01F,1,Dehiwala,Colombo,60159,43260,1173,42082,12577,19865,0,9247,0,0,30,63,30,0,112,0,2,24,17,10,43,15,1,0,25,1,3,1,2,1,1,1,1,0,4,6,0,0,0,0,0,0,0
pd,01G,1,Ratmalana,Colombo,67176,48733,1531,47193,19284,18448,0,9085,0,0,26,86,31,0,71,0,0,23,20,5,50,8,4,0,27,2,0,4,2,2,1,1,5,0,1,7,0,0,0,0,0,0,0
pd,01K,1,Avissawella,Colombo,98012,75991,3491,72480,37380,28607,0,5952,0,0,34,96,71,0,133,0,1,40,43,1,72,12,4,7,2,4,2,5,2,1,2,3,1,0,1,4,0,0,0,0,0,0,0
pd,01N,1,Kesbewa,Colombo,137285,105773,2831,102927,45939,26302,0,29850,0,0,41,215,40,0,121,0,5,29,27,3,244,31,3,1,30,2,6,4,2,1,0,4,6,0,3,18,0,0,0,0,0,0,0
pd,01I,1,Kotte,Colombo,74159,54772,1413,53351,20070,19635,0,13192,0,0,15,140,29,0,95,0,1,30,16,9,55,14,0,0,26,4,1,3,2,1,1,2,3,0,0,7,0,0,0,0,0,0,0
pd,01J,1,Kaduwela,Colombo,143644,108393,3316,105058,53065,32772,0,18485,0,0,48,202,53,0,139,0,5,30,37,3,115,26,1,1,22,2,2,11,3,5,4,3,3,0,3,18,0,0,0,0,0,0,0
pd,01L,1,Homagama,Colombo,135242,100577,3516,97030,49520,29029,0,17768,0,0,32,175,59,0,129,0,2,29,39,3,175,17,2,0,7,5,2,8,4,4,5,4,3,0,3,6,0,0,0,0,0,0,0
pd,01M,1,Maharagama,Colombo,118318,88488,2161,86315,37919,22337,0,25385,0,0,36,177,32,0,135,0,2,22,34,0,160,28,1,0,9,0,3,6,1,1,2,3,4,0,4,14,0,0,0,0,0,0,0
pd,01O,1,Moratuwa,Colombo,116454,90515,3139,87362,38833,34313,0,13493,0,0,38,168,73,0,161,0,5,33,49,3,102,9,3,6,11,3,4,6,5,4,3,3,6,0,4,24,0,0,0,0,0,0,0
pd,01P,1,Postal Votes - Colombo District,Colombo,0,16757,305,16452,8482,4641,0,3260,0,0,4,15,1,0,30,0,0,2,1,0,1,5,0,0,3,0,0,0,0,0,0,2,0,0,1,4,0,0,0,0,0,0,0
pd,02A,2,Wattala,Gampaha,91912,70598,2761,67821,28344,34041,0,4525,0,0,0,478,233,0,102,0,5,0,0,6,0,4,16,6,7,1,3,2,1,0,4,4,0,4,15,0,20,0,0,0,0,0,0
pd,02B,2,Negombo,Gampaha,88773,63567,2842,60711,24357,33709,0,1759,0,0,0,387,277,0,148,0,11,0,0,7,0,4,8,4,4,1,3,4,4,4,3,0,3,0,7,0,7,0,0,0,0,0,0
pd,02C,2,Katana,Gampaha,110706,84453,3268,81167,41823,31919,0,6254,0,0,0,637,282,0,98,0,7,0,0,11,0,62,10,2,10,2,4,1,13,2,2,3,5,6,10,0,4,0,0,0,0,0,0
pd,02D,2,Divulapitiya,Gampaha,90352,69731,2884,66821,34257,26267,0,5666,0,0,0,278,234,0,40,0,3,0,0,5,0,17,15,1,5,1,2,4,9,2,3,2,0,4,3,0,3,0,0,0,0,0,0
pd,02K,2,Dompe,Gampaha,94755,72958,3073,69863,40327,23111,0,5943,0,0,0,164,192,0,26,0,5,0,0,2,0,7,13,1,12,0,2,2,14,4,3,4,1,20,4,0,6,0,0,0,0,0,0
pd,02E,2,Mirigama,Gampaha,104122,78436,3677,74739,39853,27523,0,6775,0,0,0,193,265,0,46,0,1,0,0,4,0,10,20,4,6,2,2,3,16,2,3,4,1,2,3,0,1,0,0,0,0,0,0
