type,pd_code,ed_code,pd_name,ed_name,electors,polled,rejected,valid,PA,UNP,SLMC,TULF,SLPF,MEP,IG.06,TELO,DPLF,IG.10,EPRLF,IG.01,IG.20,IG.13,IG.19,IG.11,IG.12,NSSP,IG.21,IG.05,IG.09,TKLO,PFF,IG.14,DWC,IG.04,SMBP
lk,-,-,-,-,11163064,8344095,400395,7943688,3907717,3498370,143307,112549,90078,68538,27374,24974,11567,11118,9411,9251,7059,3366,3286,2581,2103,2094,1884,1728,1465,1113,813,608,589,478,267
ed,-,01,-,Colombo,1260686,958568,36635,921933,469642,385100,0,0,11454,42734,0,0,0,0,0,9251,0,0,0,0,0,2050,0,0,0,1113,0,0,589,0,0
ed,-,02,-,Gampaha,1167469,929841,33553,896288,509030,375631,0,0,11627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ed,-,03,-,Kalutara,661793,530757,25397,505360,271754,221115,0,0,6238,5914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,0,0,0,0
ed,-,04,-,Kandy,743939,607571,31019,576552,267683,301824,0,0,3072,3495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478,0
ed,-,05,-,Matale,266974,218608,12646,205962,102680,100121,0,0,1433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1728,0,0,0,0,0,0,0
ed,-,06,-,Nuwara-Eliya,392770,323510,21592,301918,97658,175478,0,0,928,480,27374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ed,-,07,-,Galle,645559,513677,20763,492914,277956,203268,0,0,7239,4145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,0,0,0,0
ed,-,08,-,Matara,511109,396634,17167,379467,227285,142024,0,0,8736,1422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ed,-,09,-,Hambantota,332805,260218,13539,246679,132008,95382,0,0,15309,2080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1465,0,168,0,0,0,267
ed,-,10,-,Jaffna,596375,13837,358,13479,0,0,2098,0,0,0,0,0,0,11118,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ed,-,11,-,Vanni,179435,45280,3009,42271,5583,7850,8142,3039,0,0,0,0,11567,0,3465,0,0,0,0,2581,0,44,0,0,0,0,0,0,0,0,0
ed,-,12,-,Batticaloa,265253,189619,15531,174088,19278,23244,31072,76516,0,0,0,17073,0,0,4802,0,0,0,0,0,2103,0,0,0,0,0,0,0,0,0,0
ed,-,13,-,Digamadulla,318710,253502,12736,240766,54150,78767,75092,24526,673,0,0,4192,0,0,0,0,0,3366,0,0,0,0,0,0,0,0,0,0,0,0,0
ed,-,14,-,Trincomalee,187991,126624,6682,119942,43798,34986,26903,8468,589,0,0,3709,0,0,881,0,0,0,0,0,0,0,0,0,0,0,0,608,0,0,0
ed,-,15,-,Kurunegala,897580,737350,30071,707279,366856,332547,0,0,4990,2886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ed,-,16,-,Puttalam,385690,293873,13144,280711,150587,127671,0,0,1615,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ed,-,17,-,Anuradhapura,418959,341604,14620,326984,180454,142084,0,0,3077,1369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ed,-,18,-,Polonnaruwa,204138,167512,6434,161078,82438,76706,0,0,1934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ed,-,19,-,Badulla,444632,365599,28540,337059,146546,182131,0,0,3555,1541,0,0,0,0,0,0,0,0,3286,0,0,0,0,0,0,0,0,0,0,0,0
ed,-,20,-,Moneragala,203178,170968,16305,154663,77955,67753,0,0,1896,0,0,0,0,0,0,0,7059,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ed,-,21,-,Ratnapura,564194,483890,23611,460285,233687,220750,0,0,2330,1634,0,0,0,0,0,0,0,0,0,0,0,0,1884,0,0,0,0,0,0,0,0
ed,-,22,-,Kegalle,513825,415053,17043,398010,190689,203938,0,0,3383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,01A,01,Colombo-North,Colombo,63528,47482,2593,44889,18140,24522,0,0,268,399,0,0,0,0,0,1254,0,0,0,0,0,157,0,0,0,96,0,0,53,0,0
pd,01B,01,Colombo-Central,Colombo,139012,101705,5995,95710,42060,50136,0,0,502,878,0,0,0,0,0,1526,0,0,0,0,0,319,0,0,0,130,0,0,159,0,0
pd,01C,01,Borella,Colombo,52007,37542,1524,36018,16764,17076,0,0,414,1345,0,0,0,0,0,258,0,0,0,0,0,93,0,0,0,36,0,0,32,0,0
pd,01D,01,Colombo-East,Colombo,57049,41551,1618,39933,18211,17858,0,0,493,1615,0,0,0,0,0,1593,0,0,0,0,0,58,0,0,0,87,0,0,18,0,0
pd,01E,01,Colombo-West,Colombo,36915,26246,821,25425,8977,12983,0,0,90,462,0,0,0,0,0,2813,0,0,0,0,0,44,0,0,0,31,0,0,25,0,0
pd,01F,01,Dehiwala,Colombo,55301,41508,1273,40235,20882,16942,0,0,327,1145,0,0,0,0,0,813,0,0,0,0,0,71,0,0,0,44,0,0,11,0,0
pd,01G,01,Ratmalana,Colombo,59749,45691,1652,44039,25967,15860,0,0,666,1061,0,0,0,0,0,311,0,0,0,0,0,115,0,0,0,50,0,0,9,0,0
pd,01H,01,Kolonnawa,Colombo,90167,69368,2775,66593,36939,26796,0,0,935,1646,0,0,0,0,0,42,0,0,0,0,0,138,0,0,0,71,0,0,26,0,0
pd,01I,01,Kotte,Colombo,71213,53824,1485,52339,28106,21215,0,0,742,1975,0,0,0,0,0,140,0,0,0,0,0,104,0,0,0,39,0,0,18,0,0
pd,01J,01,Kaduwela,Colombo,113173,86802,3010,83792,46899,30668,0,0,1541,4327,0,0,0,0,0,57,0,0,0,0,0,183,0,0,0,94,0,0,23,0,0
pd,01K,01,Avissawella,Colombo,81213,65016,2882,62134,20782,28768,0,0,476,11846,0,0,0,0,0,46,0,0,0,0,0,95,0,0,0,73,0,0,48,0,0
pd,01L,01,Homagama,Colombo,106536,77482,2938,74544,40034,29566,0,0,1180,3409,0,0,0,0,0,31,0,0,0,0,0,169,0,0,0,106,0,0,49,0,0
pd,01M,01,Maharagama,Colombo,101317,76780,2082,74698,41034,25269,0,0,1142,6932,0,0,0,0,0,51,0,0,0,0,0,152,0,0,0,89,0,0,29,0,0
pd,01N,01,Kesbewa,Colombo,110948,86335,2932,83403,49342,29585,0,0,1418,2709,0,0,0,0,0,33,0,0,0,0,0,165,0,0,0,105,0,0,46,0,0
pd,01O,01,Moratuwa,Colombo,97831,77611,2701,74910,41670,30360,0,0,992,1543,0,0,0,0,0,96,0,0,0,0,0,155,0,0,0,60,0,0,34,0,0
pd,01P,01,Postal Votes - Colombo District,Colombo,24727,23625,354,23271,13835,7496,0,0,268,1442,0,0,0,0,0,187,0,0,0,0,0,32,0,0,0,2,0,0,9,0,0
pd,02A,02,Wattala,Gampaha,85516,67013,2627,64386,32311,31482,0,0,593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,02B,02,Negombo,Gampaha,80589,60309,2566,57743,28830,28624,0,0,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,02C,02,Katana,Gampaha,92027,73978,3044,70934,40684,29617,0,0,633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,02D,02,Divulapitiya,Gampaha,77104,64843,2228,62615,32951,29141,0,0,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,02E,02,Mirigama,Gampaha,89455,71843,2739,69104,37512,30492,0,0,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,02F,02,Minuwangoda,Gampaha,89192,72480,2288,70192,39893,29455,0,0,844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,02G,02,Attanagalla,Gampaha,91907,73385,2638,70747,45629,24269,0,0,849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,02H,02,Gampaha,Gampaha,100416,78751,2456,76295,47822,27133,0,0,1340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,02I,02,Ja-Ela,Gampaha,97305,76226,2567,73659,40838,31851,0,0,970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,02J,02,Mahara,Gampaha,98091,76420,2685,73735,43413,29173,0,0,1149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,02K,02,Dompe,Gampaha,80415,65321,2331,62990,35849,26552,0,0,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,02L,02,Biyagama,Gampaha,80600,63677,2373,61304,34719,25537,0,0,1048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,02M,02,Kelaniya,Gampaha,78191,60050,2271,57779,32961,23504,0,0,1314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,02P,02,Postal Votes - Gampaha District,Gampaha,26661,25545,740,24805,15618,8801,0,0,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,03A,03,Panadura,Kalutara,89554,69817,2642,67175,39309,25692,0,0,970,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0
pd,03B,03,Bandaragama,Kalutara,86676,70476,3059,67417,37374,28531,0,0,774,707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0
pd,03C,03,Horana,Kalutara,77877,63928,2656,61272,32374,27562,0,0,515,771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0
pd,03D,03,Bulathsinhala,Kalutara,63131,51806,3121,48685,24364,23755,0,0,226,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0
pd,03E,03,Matugama,Kalutara,80135,62761,4034,58727,30514,26520,0,0,969,670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0
pd,03F,03,Kalutara,Kalutara,86437,66721,3029,63692,34349,27482,0,0,1107,727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0
pd,03G,03,Beruwala,Kalutara,83849,67181,2805,64376,33686,29063,0,0,809,776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0
pd,03H,03,Agalawatta,Kalutara,78540,62983,3818,59165,31009,27007,0,0,693,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0
