type,pd_code,ed_code,pd_name,ed_name,electors,polled,rejected,valid,UNP,SLFP,SLMC,TULF,IG.10,USA,MEP,ELJP,IG.12,IG.14,DPLF,USP,IG.11,ACTC,IG.17,USF,IG.21,IG.16,IG.20
lk,-,-,-,-,9374164,5962031,365563,5596468,2838005,1785369,202016,188594,150340,141983,90480,67723,47916,25239,19150,17323,7879,7610,4057,965,779,691,349
ed,-,01,-,Colombo,1087891,760113,35271,724842,374530,205053,29308,0,0,31873,76966,7112,0,0,0,0,0,0,0,0,0,0,0
ed,-,02,-,Gampaha,969658,744934,32497,712437,385733,294490,0,0,0,21665,0,10549,0,0,0,0,0,0,0,0,0,0,0
ed,-,03,-,Kalutara,570193,341332,20139,321193,160069,131510,12971,0,0,12342,2690,1611,0,0,0,0,0,0,0,0,0,0,0
ed,-,04,-,Kandy,628317,354483,22374,332109,204973,105977,14697,0,0,5147,0,1315,0,0,0,0,0,0,0,0,0,0,0
ed,-,05,-,Matale,214938,151207,11927,139280,88869,45717,0,0,0,2344,0,2350,0,0,0,0,0,0,0,0,0,0,0
ed,-,06,-,Nuwara-Eliya,229519,187024,13600,173424,109853,47128,1720,0,0,4214,0,0,0,0,10509,0,0,0,0,0,0,0,0
ed,-,07,-,Galle,571146,388541,23536,365005,183962,152096,4014,0,0,18160,2676,4097,0,0,0,0,0,0,0,0,0,0,0
ed,-,08,-,Matara,451926,86633,5128,81505,45734,28752,0,0,0,4225,1313,1481,0,0,0,0,0,0,0,0,0,0,0
ed,-,09,-,Hambantota,295120,60914,4339,56575,31639,22459,143,0,0,1686,0,0,0,0,648,0,0,0,0,0,0,0,0
ed,-,10,-,Jaffna,592210,265058,25203,239855,5460,0,8439,60013,150340,0,0,0,0,0,7993,0,0,7610,0,0,0,0,0
ed,-,11,-,Vanni,141448,47650,4462,43188,8525,1568,7945,17271,0,0,0,0,0,0,0,0,7879,0,0,0,0,0,0
ed,-,12,-,Batticaloa,216574,169284,13923,155361,11317,4130,36867,55131,0,0,0,0,47916,0,0,0,0,0,0,0,0,0,0
ed,-,13,-,Digamadulla,265768,224441,10727,213714,62600,45400,61325,43424,0,0,0,0,0,0,0,0,0,0,0,965,0,0,0
ed,-,14,-,Trincomalee,152289,106456,4878,101578,22450,22966,17884,12755,0,0,284,0,0,25239,0,0,0,0,0,0,0,0,0
ed,-,15,-,Kurunegala,784991,572128,34212,537916,314724,195526,0,0,0,11059,2848,13759,0,0,0,0,0,0,0,0,0,0,0
ed,-,16,-,Puttalam,318755,235680,13205,222475,139309,71687,6253,0,0,3398,0,1137,0,0,0,0,0,0,0,0,0,691,0
ed,-,17,-,Anuradhapura,334073,178690,14245,164445,92726,64010,0,0,0,1724,531,1397,0,0,0,0,0,0,4057,0,0,0,0
ed,-,18,-,Polonnaruwa,163745,75010,5266,69744,43473,23221,0,0,0,1117,0,1933,0,0,0,0,0,0,0,0,0,0,0
ed,-,19,-,Badulla,329321,248798,19704,229094,135089,81011,0,0,0,5712,1693,5589,0,0,0,0,0,0,0,0,0,0,0
ed,-,20,-,Moneragala,161927,100669,12317,88352,46313,38640,450,0,0,2149,451,0,0,0,0,0,0,0,0,0,0,0,349
ed,-,21,-,Ratnapura,457224,359370,20248,339122,196323,123360,0,0,0,0,0,1337,0,0,0,17323,0,0,0,0,779,0,0
ed,-,22,-,Kegalle,437131,303616,18362,285254,174334,80668,0,0,0,15168,1028,14056,0,0,0,0,0,0,0,0,0,0,0
pd,01A,01,Colombo-North,Colombo,53356,35640,2460,33180,22052,5691,2786,0,0,1680,732,239,0,0,0,0,0,0,0,0,0,0,0
pd,01B,01,Colombo-Central,Colombo,131624,93524,6126,87398,49733,11861,19874,0,0,4399,1326,205,0,0,0,0,0,0,0,0,0,0,0
pd,01C,01,Borella,Colombo,47174,32189,1501,30688,17324,8721,1604,0,0,1745,1040,254,0,0,0,0,0,0,0,0,0,0,0
pd,01D,01,Colombo-East,Colombo,49993,33146,1439,31707,17908,8654,680,0,0,2482,1620,363,0,0,0,0,0,0,0,0,0,0,0
pd,01E,01,Colombo-West,Colombo,36820,23991,949,23042,15265,4100,1259,0,0,1502,669,247,0,0,0,0,0,0,0,0,0,0,0
pd,01F,01,Dehiwala,Colombo,52176,37351,1351,36000,19768,12193,790,0,0,1341,1724,184,0,0,0,0,0,0,0,0,0,0,0
pd,01G,01,Ratmalana,Colombo,54316,39441,1602,37839,21237,13063,415,0,0,1500,1407,217,0,0,0,0,0,0,0,0,0,0,0
pd,01H,01,Kolonnawa,Colombo,74671,52007,2477,49530,24561,18531,662,0,0,2917,2698,161,0,0,0,0,0,0,0,0,0,0,0
pd,01I,01,Kotte,Colombo,65984,44368,1507,42861,20113,17007,284,0,0,2041,3030,386,0,0,0,0,0,0,0,0,0,0,0
pd,01J,01,Kaduwela,Colombo,86029,59321,2473,56848,25849,21306,117,0,0,1850,7241,485,0,0,0,0,0,0,0,0,0,0,0
pd,01K,01,Avissawella,Colombo,67851,52181,2500,49681,23462,4131,168,0,0,523,20225,1172,0,0,0,0,0,0,0,0,0,0,0
pd,01L,01,Homagama,Colombo,82139,54022,3068,50954,24795,14872,81,0,0,1440,7920,1846,0,0,0,0,0,0,0,0,0,0,0
pd,01M,01,Maharagama,Colombo,81774,56921,2138,54783,22042,11002,158,0,0,1758,19152,671,0,0,0,0,0,0,0,0,0,0,0
pd,01N,01,Kesbewa,Colombo,87609,62535,2710,59825,27415,25830,73,0,0,1890,4351,266,0,0,0,0,0,0,0,0,0,0,0
pd,01O,01,Moratuwa,Colombo,95786,63771,2463,61308,33090,22024,301,0,0,3796,1859,238,0,0,0,0,0,0,0,0,0,0,0
pd,01P,01,Postal Votes - Colombo District,Colombo,20589,19705,507,19198,9916,6067,56,0,0,1009,1972,178,0,0,0,0,0,0,0,0,0,0,0
pd,02A,02,Wattala,Gampaha,67601,50811,2200,48611,28841,17229,0,0,0,2029,0,512,0,0,0,0,0,0,0,0,0,0,0
pd,02B,02,Negombo,Gampaha,67618,48699,2403,46296,30610,12566,0,0,0,1810,0,1310,0,0,0,0,0,0,0,0,0,0,0
pd,02C,02,Katana,Gampaha,75135,56424,2457,53967,28660,22318,0,0,0,2656,0,333,0,0,0,0,0,0,0,0,0,0,0
pd,02D,02,Divulapitiya,Gampaha,67159,54335,2536,51799,27430,23286,0,0,0,850,0,233,0,0,0,0,0,0,0,0,0,0,0
pd,02E,02,Mirigama,Gampaha,77242,61052,2713,58339,33179,22985,0,0,0,557,0,1618,0,0,0,0,0,0,0,0,0,0,0
pd,02F,02,Minuwangoda,Gampaha,76279,61289,2436,58853,32021,25061,0,0,0,1015,0,756,0,0,0,0,0,0,0,0,0,0,0
pd,02G,02,Attanagalla,Gampaha,77198,59378,2677,56701,25194,28576,0,0,0,1166,0,1765,0,0,0,0,0,0,0,0,0,0,0
pd,02H,02,Gampaha,Gampaha,82689,62723,2297,60426,30376,27765,0,0,0,1426,0,859,0,0,0,0,0,0,0,0,0,0,0
