type,pd_code,ed_code,pd_name,ed_name,electors,polled,rejected,valid,PA,UNP,JVP,NUA,SU,TULF,JV,PLF,EPDP,PF,NLF,ACTC,TELO,CWC,DPLF,PP,IG2.13,L&DA,TNUoW,IG1.12,TLP,IG2.10,ULF,DUNF,ESMS,SMP,IG4.11,IG2.14,IG7.11,IG6.10,SMB,SMBP,IG1.10,IG3.10,IG5.11,NPP,IG3.14,MUL,SLMK,PFF,IG2.11,MULF,IG5.13,SLPF,IG6.14,PLSF,IG3.01,JSP,IG2.07,RJP,IG3.12,IG1.15,IG4.22,IG4.03,SEP,IG3.13,IG2.01,DUN,IG2.17,IG4.21,IG1.02,IG3.02,IG2.04,IG5.09,IG5.10,IG2.12,IG1.13,IG5.02,IG2.16,IG5.08,IG1.19,IG5.03,IG5.01,IG4.04,IG4.19,IG4.02,IG1.07,IG1.03,IG3.08,IG3.19,IG5.12,IG9.06,IG2.02,IG3.03,IG5.04,IG2.03,IG4.09,IG3.21,IG6.13,IG4.06,IG4.01,IG1.04,IG1.16,IG1.17,IG1.20,IG3.06,IG2.09,IG2.21,IG4.08,SLP,IG2.08,IG3.16,IG3.09,IG1.01,IG1.05,IG1.08,IG4.10,IG2.18,IG2.19,IG3.04,IG6.20,IG3.22,IG4.20,IG1.06,IG7.06,IG3.20,IG1.11,IG1.21,IG8.06,IG1.09,IG5.06,IG1.22,IG4.12,IG1.18,IG6.06,IG2.22,IG4.13,IG2.20,IG5.20,IG4.14,IG1.14,IG5.14,IG2.06,IG3.11,IG6.11
lk,-,-,-,-,0,0,0,8602617,3899329,3451765,346262,185593,127859,105907,78133,53550,50702,40780,32275,27289,25830,22985,20655,19830,19812,9781,5737,5556,5182,4905,4048,4048,3927,3561,3419,2621,2325,2058,2024,1704,1641,1633,1570,1542,1434,1321,1287,1242,1235,1147,1079,1046,872,812,808,769,704,655,589,579,497,400,389,375,357,355,321,276,270,265,264,245,242,240,240,233,224,214,207,196,179,179,178,177,173,171,157,148,143,142,137,123,123,118,116,116,112,110,109,103,103,103,101,93,93,93,91,90,87,86,77,75,75,73,71,70,66,65,64,64,59,58,57,57,55,54,50,45,44,44,43,43,40,40,37,34,33,30,30,26,22,19,16
ed,-,01,-,Colombo,0,0,0,1014220,394146,440684,0,27067,49671,0,78133,0,0,0,3877,5238,0,4588,0,2879,0,0,0,0,497,0,684,0,0,1228,0,0,0,0,0,0,0,0,0,1400,0,1321,244,58,0,0,0,0,0,0,808,0,0,143,0,0,0,0,389,0,357,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,90,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ed,-,02,-,Gampaha,0,0,0,961709,470018,378328,73110,11013,20297,0,0,0,0,0,3502,0,0,0,0,774,0,0,0,0,232,0,1093,473,0,1463,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,149,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,270,265,0,0,0,0,0,233,0,0,0,0,0,0,0,177,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ed,-,03,-,Kalutara,0,0,0,544518,255175,217215,38373,11943,15619,0,0,0,0,0,2934,0,0,0,0,642,0,255,0,0,0,0,0,292,0,0,0,0,0,0,0,637,0,0,0,0,0,0,168,41,0,0,0,65,0,0,0,113,0,38,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,171,0,0,0,0,0,123,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ed,-,04,-,Kandy,0,0,0,604928,282282,243623,21565,32023,10999,0,0,0,0,0,2820,0,0,6108,0,1304,0,0,1066,0,301,0,0,323,757,0,0,0,0,0,708,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,76,0,78,0,0,0,0,0,0,0,0,0,0,0,0,264,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ed,-,05,-,Matale,0,0,0,218097,110213,91836,10673,0,1458,0,0,0,0,0,2350,0,0,0,0,346,0,0,0,0,179,0,0,144,369,0,0,0,0,0,0,158,0,0,0,0,0,0,96,49,0,0,0,65,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ed,-,06,-,Nuwara-Eliya,0,0,0,300806,158018,126486,6299,0,1161,0,0,0,0,0,0,0,0,0,0,2445,0,294,4671,0,294,0,0,224,0,0,0,0,0,0,0,108,0,0,0,0,0,0,66,33,0,0,0,0,0,0,0,66,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,110,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,57,0,0,0,50,0,44,0,0,0,40,0,0,0,0,0,0,0,22,0,0
ed,-,07,-,Galle,0,0,0,528348,264601,212055,41620,0,4535,0,0,0,0,0,2317,0,0,0,0,572,0,0,0,0,204,0,498,240,167,0,0,0,0,0,308,0,0,0,0,0,0,0,143,68,0,0,0,67,0,0,0,76,704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ed,-,08,-,Matara,0,0,0,395764,203690,146855,38757,0,3375,0,0,0,0,0,0,0,0,0,0,276,0,115,0,0,296,0,0,213,548,0,0,0,0,0,568,0,0,0,0,0,0,0,0,56,0,0,0,57,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,87,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ed,-,09,-,Hambantota,0,0,0,276127,110308,119074,42042,0,1079,0,0,0,0,0,1629,0,0,0,0,478,0,0,0,0,154,0,0,139,392,0,0,0,0,0,0,184,0,0,0,0,0,0,0,30,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
